Date,Flo_1,Flo_2,Flo_3,Flo_4,Flo_5,Flo_6,Flo_7,Flo_8,Flo_9,Flo_10,Pr_1,Pr_2,Pr_3,Pr_4,Pr_5,Pr_6,Pr_7,Pr_8,Pr_9,Pr_10
1992-09-11,6.9,6.03,6.83,8.64,8.02,5.77,8.0,6.24,6.2,6.11,0.1502943163470212,0.10153844928347978,0.15019000037684216,0.026960897428929206,0.0729131823510505,0.07681065520247253,0.07476194625978572,0.12047851441402631,0.11705462035350733,0.10899741798288531
1992-09-12,3.76,3.4,3.73,4.54,4.19,3.26,4.2,3.47,3.41,3.41,0.14867267974559858,0.10643649515910923,0.1488838112604807,0.022130506641980973,0.08117588635765088,0.07599214503158086,0.07900704571923119,0.12060826069589771,0.1085465846942349,0.1085465846942349
1992-09-13,2.35,2.22,2.33,2.7,2.53,2.09,2.57,2.24,2.25,2.15,0.14738217968617734,0.11880499991954495,0.14712960396383123,0.023856114035257222,0.08946978555186658,0.05907563094026263,0.07061206723271132,0.1267339482694622,0.13033462761730122,0.08660104278358526
1992-09-14,1.8,1.7,1.78,1.97,1.89,1.6,1.89,1.72,1.72,1.72,0.14278128600017803,0.1097681968583533,0.14565799915208796,0.027866901532598826,0.08332377177474146,0.034080561382758376,0.08332377177474146,0.12439917050818014,0.12439917050818014,0.12439917050818014
1992-09-15,1.5,1.49,1.5,1.61,1.57,1.44,1.59,1.51,1.46,1.47,0.14365062219478036,0.13467252263517543,0.14365062219478036,0.03104552789669801,0.08718771731955563,0.05859474321355205,0.05568405829131749,0.148109930088477,0.09050703613225018,0.10689722003341344
1992-09-16,1.35,1.96,1.42,1.42,1.65,1.82,1.43,1.37,1.52,1.45,0.08903607047709138,0.013918742056603556,0.11812767243594664,0.11812767243594664,0.12101259430776877,0.05050231099719528,0.12171284146510389,0.09780085920093641,0.14156098724041027,0.12820024938299718
1992-09-17,1.64,1.61,1.29,1.37,1.72,1.58,1.29,1.36,1.42,1.42,0.07845397830713609,0.09739659577211783,0.07232116612197165,0.12175941298097356,0.03591362824922826,0.11595589040756976,0.07232116612197165,0.11595589040756991,0.1449611358157306,0.1449611358157306
1992-09-18,1.49,1.48,1.28,1.35,1.54,1.36,1.03,1.32,1.39,1.37,0.083962295796744,0.08989262957704382,0.1108040584647573,0.1322889236263446,0.05495798918561201,0.13272650718620782,0.0065095158357698826,0.1267299038169728,0.12969355222859333,0.1324346242819545
1992-09-19,1.4,1.38,1.03,1.29,1.43,1.35,1.16,1.29,1.31,1.32,0.08968058800083893,0.10376946462410822,0.008759277158424767,0.1362651574128661,0.06797680027144974,0.1218555275117141,0.06656708590194343,0.1362651574128661,0.13542167415094622,0.13343926755484256
1992-09-20,1.04,1.31,1.11,1.02,1.3,1.31,1.18,1.01,1.29,1.01,0.10425158944157348,0.07871490851497773,0.14877919980888718,0.08913018005571167,0.08612656330541096,0.07871490851497773,0.1573021561765884,0.08165975368922423,0.09366098680342427,0.08165975368922423
1992-09-21,1.12,1.29,1.16,1.14,1.31,0.994,1.21,1.14,1.28,1.15,0.11539243411228171,0.06812973765460997,0.13965224638600188,0.13005564365174171,0.050875284643111945,0.01783295832957897,0.13499718869586907,0.13005564365174171,0.07742197031400734,0.1355868925610556
1992-09-22,1.2,1.31,1.18,1.17,1.01,1.12,1.17,1.19,1.02,1.21,0.12321065566648529,0.027854506255194048,0.13470426074760541,0.13793351481178334,0.03028361471948117,0.1259886825889045,0.13793351481178334,0.12973012047489405,0.03696169700039441,0.11539943292347452
1992-09-23,1.22,0.998,1.2,1.21,1.13,1.16,1.18,1.17,1.15,1.19,0.07855510967736204,0.0033172778402368666,0.10298612815040648,0.09119109126857519,0.11166487866642028,0.12722353133375822,0.12094179212091997,0.1257615121665141,0.12520898235926847,0.11314969641653845
1992-09-24,1.19,1.12,1.2,1.22,1.18,1.17,1.17,1.17,1.21,1.18,0.12740710481285622,0.00907821943015277,0.1039795739956068,0.04480836166167831,0.13502266614825204,0.12376194637431144,0.12376194637431144,0.12376194637431144,0.07339556868026742,0.13502266614825204
1992-09-25,1.23,1.2,1.19,1.22,1.2,1.2,1.19,1.18,1.17,1.22,0.036003391206647105,0.14691631430132188,0.1256641829428643,0.07863863626567048,0.14691631430132188,0.14691631430132188,0.1256641829428643,0.07863863626567048,0.036003391206647105,0.07863863626567048
1992-09-26,1.2,1.2,1.18,1.24,1.22,1.2,1.21,1.21,1.22,1.22,0.11310939608114651,0.11310939608114651,0.021363605371418716,0.021363605371419903,0.1131093960811486,0.11310939608114651,0.13930820638513805,0.13930820638513805,0.1131093960811486,0.1131093960811486
1992-09-27,1.2,1.2,1.18,1.23,1.19,1.18,1.18,1.19,1.55,1.18,0.1144166263698783,0.1144166263698783,0.10724204625261298,0.1182826959449955,0.11124420105946653,0.10724204625261298,0.10724204625261298,0.11124420105946653,0.0014274641858627877,0.10724204625261298
1992-09-28,1.22,1.2,1.2,1.21,1.2,1.2,1.15,1.19,1.05,1.19,0.08847808023829148,0.11504427862421253,0.11504427862421253,0.10320018435347128,0.11504427862421253,0.11504427862421253,0.1004348268242211,0.12257145664610372,0.0025668807949584893,0.12257145664610372
1992-09-29,1.18,1.2,1.17,1.22,1.21,1.18,1.17,1.16,1.14,1.17,0.14416056916945696,0.09813188678300534,0.13094454276244522,0.03095288481182044,0.06067569018409891,0.14416056916945696,0.13094454276244522,0.09813188678300534,0.03095288481182044,0.13094454276244522
1992-09-30,1.17,1.18,1.17,1.2,1.19,1.17,1.15,1.18,1.17,1.18,0.12288867848183081,0.1306150571522853,0.12288867848183081,0.02368726185451352,0.07545028892190138,0.12288867848183081,0.01746256383940589,0.1306150571522853,0.12288867848183081,0.1306150571522853
